,Match_Winner,HT_buildUpPlaySpeed,HT_buildUpPlayDribbling,HT_buildUpPlayPassing,HT_chanceCreationPassing,HT_chanceCreationCrossing,HT_chanceCreationShooting,HT_defencePressure,HT_defenceAggression,HT_defenceTeamWidth,AT_buildUpPlaySpeed,AT_buildUpPlayDribbling,AT_buildUpPlayPassing,AT_chanceCreationPassing,AT_chanceCreationCrossing,AT_chanceCreationShooting,AT_defencePressure,AT_defenceAggression,AT_defenceTeamWidth
1199,1,52.0,58.0,47.0,48.0,49.0,52.0,53.0,56.0,48.0,60.0,56.0,42.0,48.0,53.0,64.0,43.0,47.0,48.0
1200,1,48.0,61.0,66.0,49.0,66.0,34.0,56.0,47.0,64.0,55.0,42.0,49.0,49.0,54.0,53.0,46.0,54.0,50.0
1201,1,48.0,58.0,48.0,48.0,52.0,50.0,33.0,44.0,50.0,49.0,56.0,53.0,52.0,34.0,57.0,36.0,52.0,49.0
1202,1,58.0,55.0,52.0,48.0,52.0,52.0,35.0,44.0,50.0,62.0,50.0,45.0,48.0,54.0,53.0,43.0,42.0,51.0
1203,1,38.0,49.0,36.0,49.0,55.0,51.0,37.0,33.0,49.0,61.0,51.0,44.0,52.0,61.0,48.0,47.0,56.0,50.0
1204,0,64.0,52.0,49.0,49.0,53.0,34.0,46.0,44.0,49.0,58.0,55.0,52.0,48.0,52.0,52.0,35.0,44.0,50.0
1205,0,60.0,56.0,42.0,48.0,53.0,64.0,43.0,47.0,48.0,48.0,58.0,48.0,48.0,52.0,50.0,33.0,44.0,50.0
1206,1,51.0,62.0,50.0,49.0,69.0,68.0,48.0,48.0,60.0,64.0,62.0,41.0,49.0,52.0,64.0,46.0,44.0,51.0
1207,1,55.0,42.0,49.0,49.0,54.0,53.0,46.0,54.0,50.0,67.0,61.0,43.0,56.0,51.0,49.0,39.0,47.0,48.0
1208,1,52.0,68.0,48.0,37.0,37.0,37.0,35.0,34.0,51.0,63.0,58.0,48.0,53.0,49.0,48.0,43.0,47.0,49.0
1209,1,63.0,53.0,48.0,52.0,55.0,49.0,47.0,51.0,54.0,48.0,61.0,66.0,49.0,66.0,34.0,56.0,47.0,64.0
1210,0,62.0,50.0,45.0,48.0,54.0,53.0,43.0,42.0,51.0,49.0,70.0,55.0,62.0,61.0,68.0,57.0,53.0,56.0
1211,1,61.0,51.0,44.0,52.0,61.0,48.0,47.0,56.0,50.0,64.0,52.0,49.0,49.0,53.0,34.0,46.0,44.0,49.0
1212,0,63.0,58.0,48.0,53.0,49.0,48.0,43.0,47.0,49.0,55.0,42.0,49.0,49.0,54.0,53.0,46.0,54.0,50.0
1213,1,49.0,60.0,52.0,49.0,54.0,67.0,46.0,47.0,47.0,60.0,56.0,42.0,48.0,53.0,64.0,43.0,47.0,48.0
1214,0,52.0,58.0,47.0,48.0,49.0,52.0,53.0,56.0,48.0,52.0,68.0,48.0,37.0,37.0,37.0,35.0,34.0,51.0
1215,1,48.0,61.0,66.0,49.0,66.0,34.0,56.0,47.0,64.0,45.0,65.0,42.0,68.0,52.0,49.0,59.0,42.0,48.0
1216,0,48.0,58.0,48.0,48.0,52.0,50.0,33.0,44.0,50.0,51.0,62.0,50.0,49.0,69.0,68.0,48.0,48.0,60.0
1217,0,64.0,62.0,41.0,49.0,52.0,64.0,46.0,44.0,51.0,49.0,56.0,53.0,52.0,34.0,57.0,36.0,52.0,49.0
1218,1,38.0,49.0,36.0,49.0,55.0,51.0,37.0,33.0,49.0,64.0,62.0,41.0,49.0,52.0,64.0,46.0,44.0,51.0
1219,1,45.0,65.0,42.0,68.0,52.0,49.0,59.0,42.0,48.0,67.0,61.0,43.0,56.0,51.0,49.0,39.0,47.0,48.0
1220,0,60.0,56.0,42.0,48.0,53.0,64.0,43.0,47.0,48.0,61.0,51.0,44.0,52.0,61.0,48.0,47.0,56.0,50.0
1221,1,51.0,62.0,50.0,49.0,69.0,68.0,48.0,48.0,60.0,58.0,55.0,52.0,48.0,52.0,52.0,35.0,44.0,50.0
1222,1,55.0,42.0,49.0,49.0,54.0,53.0,46.0,54.0,50.0,48.0,58.0,48.0,48.0,52.0,50.0,33.0,44.0,50.0
1223,0,52.0,68.0,48.0,37.0,37.0,37.0,35.0,34.0,51.0,48.0,61.0,66.0,49.0,66.0,34.0,56.0,47.0,64.0
1224,1,52.0,58.0,47.0,48.0,49.0,52.0,53.0,56.0,48.0,63.0,58.0,48.0,53.0,49.0,48.0,43.0,47.0,49.0
1225,0,67.0,61.0,43.0,56.0,51.0,49.0,39.0,47.0,48.0,60.0,56.0,42.0,48.0,53.0,64.0,43.0,47.0,48.0
1226,0,62.0,50.0,45.0,48.0,54.0,53.0,43.0,42.0,51.0,51.0,62.0,50.0,49.0,69.0,68.0,48.0,48.0,60.0
1227,1,61.0,51.0,44.0,52.0,61.0,48.0,47.0,56.0,50.0,55.0,42.0,49.0,49.0,54.0,53.0,46.0,54.0,50.0
1228,0,63.0,58.0,48.0,53.0,49.0,48.0,43.0,47.0,49.0,63.0,53.0,48.0,52.0,55.0,49.0,47.0,51.0,54.0
1229,1,49.0,60.0,52.0,49.0,54.0,67.0,46.0,47.0,47.0,45.0,65.0,42.0,68.0,52.0,49.0,59.0,42.0,48.0
1230,1,48.0,58.0,48.0,48.0,52.0,50.0,33.0,44.0,50.0,38.0,49.0,36.0,49.0,55.0,51.0,37.0,33.0,49.0
1231,1,64.0,62.0,41.0,49.0,52.0,64.0,46.0,44.0,51.0,64.0,52.0,49.0,49.0,53.0,34.0,46.0,44.0,49.0
